movieId,clean_title,year,genre
1,Toy Story,1995,Adventure
1,Toy Story,1995,Animation
1,Toy Story,1995,Children
1,Toy Story,1995,Comedy
1,Toy Story,1995,Fantasy
2,Jumanji,1995,Adventure
2,Jumanji,1995,Children
2,Jumanji,1995,Fantasy
3,Grumpier Old Men,1995,Comedy
3,Grumpier Old Men,1995,Romance
5,Father of the Bride Part II,1995,Comedy
6,Heat,1995,Action
6,Heat,1995,Crime
6,Heat,1995,Thriller
7,Sabrina,1995,Comedy
7,Sabrina,1995,Romance
10,GoldenEye,1995,Action
10,GoldenEye,1995,Adventure
10,GoldenEye,1995,Thriller
11,"American President, The",1995,Comedy
11,"American President, The",1995,Drama
11,"American President, The",1995,Romance
14,Nixon,1995,Drama
16,Casino,1995,Crime
16,Casino,1995,Drama
19,Ace Ventura: When Nature Calls,1995,Comedy
21,Get Shorty,1995,Comedy
21,Get Shorty,1995,Crime
21,Get Shorty,1995,Thriller
22,Copycat,1995,Crime
22,Copycat,1995,Drama
22,Copycat,1995,Horror
22,Copycat,1995,Mystery
22,Copycat,1995,Thriller
24,Powder,1995,Drama
24,Powder,1995,Sci-Fi
25,Leaving Las Vegas,1995,Drama
25,Leaving Las Vegas,1995,Romance
31,Dangerous Minds,1995,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Thriller
34,Babe,1995,Children
34,Babe,1995,Drama
36,Dead Man Walking,1995,Crime
36,Dead Man Walking,1995,Drama
39,Clueless,1995,Comedy
39,Clueless,1995,Romance
44,Mortal Kombat,1995,Action
44,Mortal Kombat,1995,Adventure
44,Mortal Kombat,1995,Fantasy
47,Seven (a.k.a. Se7en),1995,Mystery
47,Seven (a.k.a. Se7en),1995,Thriller
48,Pocahontas,1995,Animation
48,Pocahontas,1995,Children
48,Pocahontas,1995,Drama
48,Pocahontas,1995,Musical
48,Pocahontas,1995,Romance
50,"Usual Suspects, The",1995,Crime
50,"Usual Suspects, The",1995,Mystery
50,"Usual Suspects, The",1995,Thriller
60,"Indian in the Cupboard, The",1995,Adventure
60,"Indian in the Cupboard, The",1995,Children
60,"Indian in the Cupboard, The",1995,Fantasy
62,Mr. Holland's Opus,1995,Drama
70,From Dusk Till Dawn,1996,Action
70,From Dusk Till Dawn,1996,Comedy
70,From Dusk Till Dawn,1996,Horror
70,From Dusk Till Dawn,1996,Thriller
95,Broken Arrow,1996,Action
95,Broken Arrow,1996,Adventure
95,Broken Arrow,1996,Thriller
104,Happy Gilmore,1996,Comedy
105,"Bridges of Madison County, The",1995,Drama
105,"Bridges of Madison County, The",1995,Romance
107,Muppet Treasure Island,1996,Adventure
107,Muppet Treasure Island,1996,Children
107,Muppet Treasure Island,1996,Comedy
107,Muppet Treasure Island,1996,Musical
110,Braveheart,1995,Action
110,Braveheart,1995,Drama
110,Braveheart,1995,War
111,Taxi Driver,1976,Crime
111,Taxi Driver,1976,Drama
111,Taxi Driver,1976,Thriller
112,Rumble in the Bronx (Hont faan kui),1995,Action
112,Rumble in the Bronx (Hont faan kui),1995,Adventure
112,Rumble in the Bronx (Hont faan kui),1995,Comedy
112,Rumble in the Bronx (Hont faan kui),1995,Crime
135,Down Periscope,1996,Comedy
141,"Birdcage, The",1996,Comedy
145,Bad Boys,1995,Action
145,Bad Boys,1995,Comedy
145,Bad Boys,1995,Crime
145,Bad Boys,1995,Drama
145,Bad Boys,1995,Thriller
150,Apollo 13,1995,Adventure
150,Apollo 13,1995,Drama
150,Apollo 13,1995,IMAX
151,Rob Roy,1995,Action
151,Rob Roy,1995,Drama
151,Rob Roy,1995,Romance
151,Rob Roy,1995,War
153,Batman Forever,1995,Action
153,Batman Forever,1995,Adventure
153,Batman Forever,1995,Comedy
153,Batman Forever,1995,Crime
158,Casper,1995,Adventure
158,Casper,1995,Children
160,Congo,1995,Action
160,Congo,1995,Adventure
160,Congo,1995,Mystery
160,Congo,1995,Sci-Fi
161,Crimson Tide,1995,Drama
161,Crimson Tide,1995,Thriller
161,Crimson Tide,1995,War
163,Desperado,1995,Action
163,Desperado,1995,Romance
163,Desperado,1995,Western
165,Die Hard: With a Vengeance,1995,Action
165,Die Hard: With a Vengeance,1995,Crime
165,Die Hard: With a Vengeance,1995,Thriller
